Lean_File,Route_Category,Primary_Purpose,Estimated_Declarations,Verification_Status,Mathematical_Area
BCFLogTaperEhmAdditiveRatioNearFar.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmAdditiveRatioReduction.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmAdditiveRatioStrategy.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmAlternativeRoutes.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmAutocorrelationFourier.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Transform theory,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperEhmAutocorrelationNormalization.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmAutocorrelationProfileStopTest.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmBoundaryResearch.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmBoundaryTail.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmBurgessAudit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Verification/Checking,1-3,✓ Lean-verified,General
BCFLogTaperEhmCenteredKernelAudit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Verification/Checking,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperEhmCoefficientConvergence.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmCompensator.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmComplementaryDivisor.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmComplementarySector.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmCompletedBlockResidue.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmCorrectionPreservingSpectralTruncation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmCorrectionTriangleLoss.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmCoupledNearCoreTarget.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmCutoffAverageMainTerm.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmCutoffAverageReindex.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmDigammaMultiplication.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmDilationFourier.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Transform theory,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperEhmDirectFeasibility.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmDispersionBlocks.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmDivisorSquare.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmDoubleCofinal.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmDyadicCommonSplit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmDyadicCorrectionAbel.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmDyadicDispersion.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmDyadicFarTail.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmDyadicNearCoreReindex.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmEarlyBlockCorrection.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmExplicitFarCutoff.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmFinalClosure.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmFourierBridge.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Proof connection,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperEhmFourierResonanceAudit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Verification/Checking,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperEhmFullVaalerLift.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmGate4CrossModulusSquare.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmGate4Dispersion.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmGate4DispersionHierarchy.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmGate4Parseval.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmGate4Strategy.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmGate5CoupledReconstruction.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmGeometricSpectralCompatibility.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmGlobalCorrectionLaboratory.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmHarmonicAbel.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmHarmonicResonanceSplit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmHighProductResidues.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmHighSectorCompensation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmHyperbola.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmHyperbolicKernelNormalForm.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Asymptotic bounds,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperEhmIntegralSeriesAssembly.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmKernel.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Asymptotic bounds,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperEhmL2Convergence.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmMSTTCenteredGate.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmMSTTClippedOptimization.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmMSTTLowCommonCoordinates.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmMSTTLowRows.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmMSTTNormalizationAudit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Verification/Checking,1-3,✓ Lean-verified,General
BCFLogTaperEhmMSTTOptimization.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmMSTTPrefixRecursion.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmMSTTSectorCoupling.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmMSTTTaylorAccumulation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmMSTTVariation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmMSTTWindowCover.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmMacLeod.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmMacLeodCompensation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmMaierRassiasKernelTransfer.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Asymptotic bounds,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperEhmMaierRassiasWeightedTransfer.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Proof connection,1-3,✓ Lean-verified,General
BCFLogTaperEhmMomentRemainderStopTest.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmMotohashiComparison.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPairedAdditiveRows.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPairedDispersion.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPairedResonance.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPeriodicL2.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeCofinal.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeCompleteRowAbelDecay.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeCorrectionMatching.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeCumulativeAmplitude.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeCumulativePhase.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeCumulativeRowAbel.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeCumulativeRowAbelTarget.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeCumulativeRowBounds.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
BCFLogTaperEhmPrimeCumulativeRowVariation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeCumulativeRows.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeCumulativeTaper.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeCumulativeVaaler.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeCumulativeVaalerTarget.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeDiscrepancyAbel.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeExplicitFormula.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimePrefixCollapse.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeProfileCollapse.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeRemainderKernel.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Asymptotic bounds,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperEhmPrimeRemainderVariation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeResidues.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmPrimeTruncatedFormula.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmProductTruncation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmQGeTwoCollapse.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmR1Decay.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmRationalBlocks.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmRationalBridge.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Proof connection,1-3,✓ Lean-verified,General
BCFLogTaperEhmReciprocalTaylor.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmRectangularAbel.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmRectangularInstantiation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmReferenceProfiles.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmRetainedCorrectionAudit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Verification/Checking,1-3,✓ Lean-verified,General
BCFLogTaperEhmSeriesBridge.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Proof connection,1-3,✓ Lean-verified,General
BCFLogTaperEhmSeriesValue.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmSignedAverage.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmSignedTransferAudit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Verification/Checking,1-3,✓ Lean-verified,General
BCFLogTaperEhmTypeIIAnalyticGate.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmTypeIISplit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmUniformBoundary.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmVaalerAnalyticGate.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmVaalerNormalizedCharacters.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmWeek3Closure.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEhmWeek3MertensAudit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Verification/Checking,1-3,✓ Lean-verified,General
BCFLogTaperEnergyMeanAnatomy.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
BCFLogTaperEnergyMeanContourExtraction.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
BCFLogTaperEstermannAtZeroBridge.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Proof connection,1-3,✓ Lean-verified,Riemann ζ-function
BCFLogTaperEstermannAtZeroReduction.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,Riemann ζ-function
BCFLogTaperEstermannBilinearTraceTarget.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannBoundaryAnalysis.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannCompletionLift.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannContourShift.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Complex analysis,1-3,✓ Lean-verified,General
BCFLogTaperEstermannCorrectionBridge.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Proof connection,1-3,✓ Lean-verified,General
BCFLogTaperEstermannEvaluationContour.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Complex analysis,1-3,✓ Lean-verified,General
BCFLogTaperEstermannFiniteFourier.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Transform theory,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperEstermannFourToTwoCollapse.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannFunctionalEquation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannGaussianAssembly.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannGaussianSubtraction.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannGlobalExchange.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannH15MellinAssembly.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Transform theory,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperEstermannH15NumeratorCompletion.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannHurwitz.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannInverseMellin.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Transform theory,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperEstermannKernelExtraction.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Asymptotic bounds,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperEstermannKloosterman.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannKloostermanCompletion.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannKuznetsovGate.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannKuznetsovProof.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannModulusSeparation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannMotohashiCompensation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannMotohashiCuspInvariance.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannMotohashiFourierRecovery.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Transform theory,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperEstermannMotohashiPhysicalCorrection.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannMotohashiPoincare.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannMotohashiSeed.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannMotohashiSobolevTranslation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannMotohashiSynthesis.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannMotohashiTraceAudit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Verification/Checking,1-3,✓ Lean-verified,General
BCFLogTaperEstermannNormalization.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannRegularizedKernels.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Asymptotic bounds,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperEstermannSeries.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannSimpleLaurent.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannTwoPoleRectangle.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannTwoSignTarget.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannVerticalBounds.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
BCFLogTaperEstermannVoronoi.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperEstermannWP4ConductorStopTest.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperGcd.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperH15ContourEhmSpectralBridge.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Complex analysis,1-3,✓ Lean-verified,General
BCFLogTaperH15ContourTraceModes.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Complex analysis,1-3,✓ Lean-verified,General
BCFLogTaperH15ResolvedSpectralSplit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
